"year","fips","pop2010","pop2023","state","stateCode","growthSince2010","name","ctyname","slug","landArea","density"
2023,29099,218733,229142,"Missouri","MO",0.047587698243977794,"Jefferson County","Jefferson County","jefferson-county-mo",657,348.77016742770167
2023,1101,229363,228831,"Alabama","AL",-0.002319467394479524,"Montgomery County","Montgomery County","montgomery-county-al",784,291.8762755102041
2023,12019,190865,226459,"Florida","FL",0.1864878317135148,"Clay County","Clay County","clay-county-fl",605,374.3123966942149
2023,39041,174214,226097,"Ohio","OH",0.29781188653035917,"Delaware County","Delaware County","delaware-county-oh",443,510.37697516930024
2023,39099,238823,225551,"Ohio","OH",-0.05557253698345632,"Mahoning County","Mahoning County","mahoning-county-oh",412,547.4538834951456
2023,22019,192768,223991,"Louisiana","LA",0.1619719040504648,"Calcasieu Parish","Calcasieu Parish","calcasieu-parish-la",1064,210.51785714285714
2023,28049,245285,222480,"Mississippi","MS",-0.09297347982958604,"Hinds County","Hinds County","hinds-county-ms",870,255.72413793103448
2023,6113,200849,221068,"California","CA",0.10066766575885366,"Yolo County","Yolo County","yolo-county-ca",1015,217.80098522167486
2023,12091,180822,220923,"Florida","FL",0.22177058101337233,"Okaloosa County","Okaloosa County","okaloosa-county-fl",930,237.55161290322582
2023,4015,200186,217191,"Arizona","AZ",0.08494600021979548,"Mohave County","Mohave County","mohave-county-az",13311,16.3166553977913
2023,23031,197131,216424,"Maine","ME",0.09786892979795159,"York County","York County","york-county-me",991,218.38950554994955
2023,53005,175177,216383,"Washington","WA",0.23522494391387005,"Benton County","Benton County","benton-county-wa",1700,127.28411764705882
2023,42069,214437,216334,"Pennsylvania","PA",0.008846421093374746,"Lackawanna County","Lackawanna County","lackawanna-county-pa",459,471.31590413943354
2023,28047,187105,215077,"Mississippi","MS",0.14949894444295975,"Harrison County","Harrison County","harrison-county-ms",574,374.698606271777
2023,37133,177772,212616,"North Carolina","NC",0.19600387012577913,"Onslow County","Onslow County","onslow-county-nc",763,278.65792922673654
2023,13215,189885,212034,"Georgia","GA",0.1166442846986333,"Muscogee County","Muscogee County","muscogee-county-ga",216,981.6388888888889
2023,39025,197363,211973,"Ohio","OH",0.07402603324837997,"Clermont County","Clermont County","clermont-county-oh",452,468.966814159292
2023,36063,216469,211526,"New York","NY",-0.02283467840660791,"Niagara County","Niagara County","niagara-county-ny",522,405.22222222222223
2023,41017,157733,210409,"Oregon","OR",0.3339567496972733,"Deschutes County","Deschutes County","deschutes-county-or",3018,69.7180251822399
2023,13139,179684,210171,"Georgia","GA",0.16967008748692147,"Hall County","Hall County","hall-county-ga",393,534.7862595419847
2023,18039,197559,209894,"Indiana","IN",0.062437044123527574,"Elkhart County","Elkhart County","elkhart-county-in",463,453.3347732181426
2023,42125,207820,209808,"Pennsylvania","PA",0.009565970551438818,"Washington County","Washington County","washington-county-pa",857,244.81680280046675
2023,6007,220000,209121,"California","CA",-0.049449999999999994,"Butte County","Butte County","butte-county-ca",1636,127.82457212713936
2023,45007,187126,208695,"South Carolina","SC",0.11526458108440307,"Anderson County","Anderson County","anderson-county-sc",715,291.8811188811189
2023,13245,200549,208425,"Georgia","GA",0.039272197816992316,"Richmond County","Richmond County","richmond-county-ga",324,643.2870370370371
2023,17019,201081,207299,"Illinois","IL",0.03092286193126159,"Champaign County","Champaign County","champaign-county-il",996,208.13152610441767
2023,47165,160645,206973,"Tennessee","TN",0.28838743813999823,"Sumner County","Sumner County","sumner-county-tn",529,391.2533081285444
2023,4027,195751,206320,"Arizona","AZ",0.053992061343236974,"Yuma County","Yuma County","yuma-county-az",5514,37.417482771128036
2023,46099,169468,205539,"South Dakota","SD",0.21284844336393882,"Minnehaha County","Minnehaha County","minnehaha-county-sd",807,254.69516728624535
2023,48139,149610,205307,"Texas","TX",0.3722812646213489,"Ellis County","Ellis County","ellis-county-tx",936,219.34508547008548
2023,15001,185079,205294,"Hawaii","HI",0.10922362882877046,"Hawaii County","Hawaii County","hawaii-county-hi",4028,50.96673286991062
2023,12053,172778,201037,"Florida","FL",0.16355670282096102,"Hernando County","Hernando County","hernando-county-fl",473,425.02536997885835
2023,27137,200226,200231,"Minnesota","MN",0.000024971781886540256,"St. Louis County","St. Louis County","st-louis-county-mn",6248,32.04721510883483
2023,31153,158840,200132,"Nebraska","NE",0.2599597078821456,"Sarpy County","Sarpy County","sarpy-county-ne",239,837.3723849372385
2023,39155,210312,199475,"Ohio","OH",-0.05152820571341621,"Trumbull County","Trumbull County","trumbull-county-oh",618,322.77508090614884
2023,12113,151372,198989,"Florida","FL",0.31456940517400844,"Santa Rosa County","Santa Rosa County","santa-rosa-county-fl",1012,196.62944664031622
2023,55101,195408,198423,"Wisconsin","WI",0.01542925571112752,"Racine County","Racine County","racine-county-wi",333,595.8648648648649
2023,36007,200600,198107,"New York","NY",-0.012427716849451653,"Broome County","Broome County","broome-county-ny",706,280.60481586402267
2023,26093,180967,197736,"Michigan","MI",0.09266330325418437,"Livingston County","Livingston County","livingston-county-mi",565,349.97522123893805
2023,42019,183862,196733,"Pennsylvania","PA",0.0700035896487583,"Butler County","Butler County","butler-county-pa",789,249.3447401774398
2023,17167,197465,196007,"Illinois","IL",-0.007383586964778588,"Sangamon County","Sangamon County","sangamon-county-il",868,225.81451612903226
2023,38017,149778,194950,"North Dakota","ND",0.30159302434269386,"Cass County","Cass County","cass-county-nd",1765,110.45325779036827
2023,12015,159978,194908,"Florida","FL",0.21834252209678828,"Charlotte County","Charlotte County","charlotte-county-fl",681,286.20851688693097
2023,55087,176695,194908,"Wisconsin","WI",0.10307592178612857,"Outagamie County","Outagamie County","outagamie-county-wi",638,305.4984326018809
2023,37097,159437,194871,"North Carolina","NC",0.22224452291500718,"Iredell County","Iredell County","iredell-county-nc",574,339.4965156794425
2023,45013,162233,194581,"South Carolina","SC",0.1993922321599182,"Beaufort County","Beaufort County","beaufort-county-sc",576,337.8142361111111
2023,6017,181058,194224,"California","CA",0.07271702990202034,"El Dorado County","El Dorado County","el-dorado-county-ca",1708,113.71428571428571
2023,49053,138115,192927,"Utah","UT",0.39685769105455604,"Washington County","Washington County","washington-county-ut",2427,79.4919653893696
2023,28033,161252,192532,"Mississippi","MS",0.1939820901446183,"DeSoto County","DeSoto County","desoto-county-ms",476,404.47899159663865
2023,18157,172780,190292,"Indiana","IN",0.10135432341706219,"Tippecanoe County","Tippecanoe County","tippecanoe-county-in",500,380.584
2023,29019,162642,189901,"Missouri","MO",0.16760123461344545,"Boone County","Boone County","boone-county-mo",686,276.82361516034985
2023,48251,150934,188624,"Texas","TX",0.24971179455921133,"Johnson County","Johnson County","johnson-county-tx",725,260.1710344827586
2023,51700,180719,187906,"Virginia","VA",0.03976892302414248,"Newport News City","Newport News City","newport-news-city-va",69,2723.2753623188405
2023,10001,162310,187713,"Delaware","DE",0.1565091491590167,"Kent County","Kent County","kent-county-de",586,320.32935153583617
2023,26145,200169,187112,"Michigan","MI",-0.06522988075076563,"Saginaw County","Saginaw County","saginaw-county-mi",800,233.89
2023,39103,172332,185512,"Ohio","OH",0.07648028224589742,"Medina County","Medina County","medina-county-oh",421,440.646080760095
2023,48187,131533,185057,"Texas","TX",0.40692449803471376,"Guadalupe County","Guadalupe County","guadalupe-county-tx",711,260.2770745428973
2023,1081,140247,184438,"Alabama","AL",0.31509408400892713,"Lee County","Lee County","lee-county-al",608,303.3519736842105
2023,9005,189927,183764,"Connecticut","CT",-0.032449309471533794,"Litchfield County","Litchfield County","litchfield-county-ct",921,199.52660152008687
2023,6089,177223,183634,"California","CA",0.03617476286937915,"Shasta County","Shasta County","shasta-county-ca",3775,48.64476821192053
2023,18063,145448,183590,"Indiana","IN",0.2622380507122821,"Hendricks County","Hendricks County","hendricks-county-in",407,451.0810810810811
2023,39089,166492,182128,"Ohio","OH",0.09391442231458558,"Licking County","Licking County","licking-county-oh",682,267.04985337243403
2023,36111,182493,181659,"New York","NY",-0.004570038302838975,"Ulster County","Ulster County","ulster-county-ny",1124,161.61832740213524
2023,6025,174528,181253,"California","CA",0.038532499083241634,"Imperial County","Imperial County","imperial-county-ca",4177,43.393105099353605
2023,16055,138494,181223,"Idaho","ID",0.3085260011264026,"Kootenai County","Kootenai County","kootenai-county-id",1244,145.67765273311898
2023,17143,186494,180432,"Illinois","IL",-0.03250506718714807,"Peoria County","Peoria County","peoria-county-il",619,291.48949919224555
2023,18163,179703,180265,"Indiana","IN",0.0031273824031874398,"Vanderburgh County","Vanderburgh County","vanderburgh-county-in",233,773.6695278969958
2023,48329,136872,179916,"Texas","TX",0.3144836051201123,"Midland County","Midland County","midland-county-tx",900,199.90666666666667
2023,20177,177934,179203,"Kansas","KS",0.007131857879888015,"Shawnee County","Shawnee County","shawnee-county-ks",544,329.4172794117647
2023,19163,165224,177501,"Iowa","IA",0.07430518568730937,"Scott County","Scott County","scott-county-ia",458,387.55676855895194
2023,37001,151131,177499,"North Carolina","NC",0.17447115416426806,"Alamance County","Alamance County","alamance-county-nc",424,418.62971698113205
2023,48091,108472,177410,"Texas","TX",0.6355372815104359,"Comal County","Comal County","comal-county-tx",560,316.80357142857144
2023,12005,168852,177124,"Florida","FL",0.048989647738848285,"Bay County","Bay County","bay-county-fl",758,233.67282321899737
2023,54039,193063,177049,"West Virginia","WV",-0.08294701729487264,"Kanawha County","Kanawha County","kanawha-county-wv",902,196.2849223946785
2023,26121,172188,176916,"Michigan","MI",0.027458359467558813,"Muskegon County","Muskegon County","muskegon-county-mi",500,353.832
2023,13223,142324,176563,"Georgia","GA",0.2405708102639048,"Paulding County","Paulding County","paulding-county-ga",312,565.9070512820513
2023,18127,164343,175876,"Indiana","IN",0.07017639935987541,"Porter County","Porter County","porter-county-in",418,420.75598086124404
2023,24013,167134,174619,"Maryland","MD",0.04478442447377562,"Carroll County","Carroll County","carroll-county-md",448,389.77455357142856
2023,48135,137130,173583,"Texas","TX",0.2658280463793481,"Ector County","Ector County","ector-county-tx",898,193.29955456570156
2023,55139,166994,173152,"Wisconsin","WI",0.03687557636801331,"Winnebago County","Winnebago County","winnebago-county-wi",434,398.96774193548384
2023,20209,157505,172767,"Kansas","KS",0.096898511158376,"Wyandotte County","Wyandotte County","wyandotte-county-ks",152,1136.625
2023,24017,146551,172638,"Maryland","MD",0.1780062913252043,"Charles County","Charles County","charles-county-md",458,376.93886462882097
2023,21117,159720,171866,"Kentucky","KY",0.07604557976458803,"Kenton County","Kenton County","kenton-county-ky",160,1074.1625
2023,50007,156545,171857,"Vermont","VT",0.0978121306972437,"Chittenden County","Chittenden County","chittenden-county-vt",537,320.0316573556797
2023,44003,166158,171623,"Rhode Island","RI",0.03289038144416767,"Kent County","Kent County","kent-county-ri",169,1015.5207100591716
2023,45003,160099,171421,"South Carolina","SC",0.07071874277790613,"Aiken County","Aiken County","aiken-county-sc",1071,160.05695611577966
2023,17113,169572,171368,"Illinois","IL",0.010591371216946088,"McLean County","McLean County","mclean-county-il",1183,144.8588334742181
2023,8101,159063,170892,"Colorado","CO",0.07436676034024248,"Pueblo County","Pueblo County","pueblo-county-co",2386,71.62279966471081
